FL6_cleaned1,FL6_cleaned2,FL7,FL9A,FL13_cleaned,FL15,FL17,FL19_cleaned,FL21B_cleaned1,FL21B_cleaned2,FL21B_cleaned3,FL21B_cleaned4,FL21B_cleaned5,FL21G_cleaned,FL21I,FL21K,FL21O_cleaned,FL22_cleaned1,FL22_cleaned2,FL22_cleaned3,FL22_cleaned4,FL22_cleaned5,FL23_cleaned1,FL23_cleaned2,FL23_cleaned3,FL23_cleaned4,FL23_cleaned5,FL23_cleaned6,FL24_cleaned1,FL24_cleaned2,FL24_cleaned3,FL24_cleaned4,FL24_cleaned5,FL25_cleaned1,FL25_cleaned2,FL25_cleaned3,FL25_cleaned4,FL25_cleaned5,FL26,FL26C,FL27_cleaned1,FL27_cleaned2,FL27_cleaned3,FL27_cleaned4,FL27_cleaned5,school,grade,studentAge,studentGender,elapsedTime,anon_id,export_datetime
No,Yes,12,12,,,,,,,,,,,Correct,Correct,,Correct,Correct,Correct,Correct,Correct,Correct,Correct,Correct,Correct,Correct,Incorrect,Correct,Correct,Incorrect,Incorrect,Correct,Correct,No response,No response,No response,No response,Correct,Incorrect,Correct,Correct,Correct,Incorrect,Incorrect,Janajagrit Basic School - Padampur 12 Surkhet,Grade 3,9,Male,11:33:00,68c4ddbff7,2025-11-02 12:46:40
Yes,Yes,12,12,,,,,,,,,,,Correct,Correct,,Correct,Correct,Correct,Correct,Correct,Correct,Correct,Correct,Correct,Correct,Correct,Correct,Correct,Correct,Correct,Correct,Correct,Correct,Correct,Correct,Correct,Correct,Correct,Correct,Correct,Correct,Correct,Correct,Janajagrit Basic School - Padampur 12 Surkhet,Grade 3,9,Female,11:43:00,d15b2b6645,2025-11-02 12:46:40
Yes,Yes,96,96,9,,,,,,,,,,Correct,Correct,,,,,,,Correct,Correct,Correct,Correct,Correct,No response,Correct,Correct,Correct,Correct,Correct,Correct,Incorrect,Correct,Incorrect,Incorrect,Correct,Incorrect,Correct,Correct,Correct,Incorrect,Incorrect,Janajagrit Basic School - Padampur 12 Surkhet,Grade 3,10,Male,13:53:00,6ecec4f283,2025-11-02 12:46:40
Yes,Yes,12,12,,Correct,Correct,60,Correct,Correct,Incorrect,Incorrect,Incorrect,,Correct,Correct,,Correct,Correct,Correct,Correct,Correct,Correct,Correct,Correct,Correct,Correct,Correct,Correct,Correct,Correct,Correct,Correct,Correct,Correct,Correct,Correct,Correct,Correct,Correct,Correct,Correct,Correct,Correct,Correct,Janajagrit Basic School - Padampur 12 Surkhet,Grade 3,10,Male,9:49:00,a45e8ff419,2025-11-02 12:46:40
Yes,Yes,12,12,,,,,,,,,,,Correct,Correct,,Correct,Correct,Correct,Correct,Correct,Correct,Correct,Correct,Correct,Correct,Incorrect,Correct,Correct,Correct,Correct,Correct,Correct,Correct,Correct,Correct,Incorrect,Correct,Incorrect,Correct,Correct,Correct,Incorrect,Incorrect,Janajagrit Basic School - Padampur 12 Surkhet,Grade 3,10,Female,12:18:00,44e0c0bc46,2025-11-02 12:46:40
Yes,Yes,12,12,,,,,,,,,,,Correct,Correct,,Correct,Correct,Correct,Correct,Correct,Correct,Correct,Correct,Incorrect,Correct,No response,Correct,Correct,Correct,Incorrect,Correct,Correct,Correct,Correct,Correct,Correct,Correct,Correct,Correct,Correct,Correct,Incorrect,Incorrect,Janajagrit Basic School - Padampur 12 Surkhet,Grade 3,8,Male,12:00:00,2af4b1d2d4,2025-11-02 12:46:40
Yes,Yes,12,12,10,,,,,,,,,,Correct,Correct,,Correct,Correct,Correct,Correct,Correct,Correct,Correct,Correct,Correct,Correct,No response,Correct,Correct,Incorrect,Correct,Correct,Correct,Correct,Correct,Correct,Incorrect,Correct,Incorrect,Correct,Correct,Incorrect,Incorrect,Incorrect,Janajagrit Basic School - Padampur 12 Surkhet,Grade 3,7,Female,13:10:00,b9a931af20,2025-11-02 12:46:40
Yes,Yes,12,12,,,,,,,,,,,Correct,Correct,,Correct,Correct,Correct,Correct,Correct,Correct,Correct,Correct,Correct,Correct,Correct,Correct,Correct,Correct,Correct,Correct,Correct,Correct,Correct,Incorrect,Incorrect,Correct,Correct,Correct,Correct,Correct,Correct,Correct,Janajagrit Basic School - Padampur 12 Surkhet,Grade 3,9,Male,9:58:00,1f5c3cef8c,2025-11-02 12:46:40
No,Yes,12,12,,,,,,,,,,,Correct,Correct,,Correct,Correct,Correct,Correct,Correct,Correct,Correct,Correct,Correct,Correct,Correct,Correct,Correct,Correct,Correct,Correct,Correct,Correct,Correct,Correct,Correct,Correct,Correct,Correct,Correct,Correct,Incorrect,Incorrect,Janajagrit Basic School - Padampur 12 Surkhet,Grade 3,9,Female,9:51:00,f942c823d2,2025-11-02 12:46:40
No,No,12,12,,Correct,Correct,,,,,,,,Correct,Correct,,Correct,Correct,Correct,Correct,Correct,Correct,Correct,Correct,Correct,Correct,Correct,Correct,Correct,Correct,Correct,Correct,Correct,Correct,Correct,Correct,Correct,Correct,Correct,Correct,Correct,Correct,Correct,Correct,Nepal Rastriya Secondary School - Khajura 8 Surkhet,Grade 5,11,Female,7:43:00,94396963d5,2025-11-02 12:46:40
No,No,12,12,,,,,,,,,,,Correct,Correct,,Correct,Correct,Correct,Correct,Correct,Correct,Correct,Correct,Correct,Correct,Correct,Correct,Correct,Correct,Correct,Correct,Correct,Correct,Correct,Correct,Correct,Correct,Correct,Correct,Correct,Incorrect,Incorrect,Incorrect,Nepal Rastriya Secondary School - Khajura 8 Surkhet,Grade 5,11,Female,6:04:00,3a7b924177,2025-11-02 12:46:40
Yes,Yes,12,12,,,,,,,,,,,Correct,Correct,,Correct,Correct,Correct,Correct,Correct,Correct,Correct,Correct,Correct,Correct,Incorrect,Correct,Correct,Correct,Correct,Correct,Correct,Correct,Correct,Correct,Incorrect,Correct,Incorrect,Correct,Correct,Incorrect,Incorrect,Incorrect,Nepal Rastriya Secondary School - Khajura 8 Surkhet,Grade 5,10,Female,5:43:00,8e49aa0a2d,2025-11-02 12:46:40
Yes,Yes,12,12,,,,,,,,,,,Correct,Correct,60,Correct,Correct,Correct,Correct,Correct,Correct,Correct,Correct,Correct,Correct,Correct,Correct,Correct,Correct,Correct,Correct,Correct,Correct,Correct,Incorrect,Incorrect,Correct,Correct,Correct,Correct,Correct,Correct,Incorrect,Nepal Rastriya Secondary School - Khajura 8 Surkhet,Grade 5,10,Female,5:38:00,f2b7af277b,2025-11-02 12:46:40
No,No,12,12,,,,,,,,,,,Correct,Correct,,Correct,Correct,Correct,Correct,Correct,Correct,Correct,Correct,Correct,Correct,No response,Correct,Correct,Correct,Correct,Correct,Correct,Incorrect,Correct,Incorrect,Incorrect,Correct,Incorrect,Correct,Incorrect,Incorrect,Incorrect,Incorrect,Nepal Rastriya Secondary School - Khajura 8 Surkhet,Grade 5,11,Female,9:22:00,402fbf5952,2025-11-02 12:46:40
Yes,Yes,12,12,,,,,,,,,,,Correct,Correct,,Correct,Correct,Correct,Correct,Correct,Correct,Correct,Correct,Correct,Correct,Correct,Correct,Correct,Correct,Correct,Correct,Correct,Correct,Correct,Incorrect,Incorrect,Correct,Correct,Correct,Correct,Correct,Incorrect,Incorrect,Nepal Rastriya Secondary School - Khajura 8 Surkhet,Grade 5,14,Male,5:10:00,c6f9ebe853,2025-11-02 12:46:40
Yes,Yes,12,12,,Correct,Correct,,,,,,,,Correct,Correct,,Correct,Correct,Correct,Correct,Correct,Correct,Correct,Correct,Correct,Correct,Correct,Correct,Correct,Correct,Correct,Correct,Correct,Correct,Correct,Incorrect,Correct,Correct,Correct,Correct,Correct,Correct,Correct,Correct,Nepal Rastriya Secondary School - Khajura 8 Surkhet,Grade 5,12,Male,5:53:00,6aa69f4112,2025-11-02 12:46:40
Yes,Yes,12,12,,,,,,,,,,,,,,,,,,,Correct,Correct,Correct,Incorrect,No response,Incorrect,Correct,Correct,Incorrect,Incorrect,Incorrect,Correct,Correct,Correct,Correct,No response,Correct,Incorrect,Correct,Correct,Correct,Incorrect,Incorrect,Nepal Rastriya Secondary School - Khajura 8 Surkhet,Grade 5,11,Male,8:19:00,aae5fb85df,2025-11-02 12:46:40
Yes,Yes,12,12,,,,,,,,,,,Correct,Correct,,Correct,Correct,Correct,Correct,Correct,Correct,Correct,Correct,Incorrect,Correct,Incorrect,Correct,Correct,Correct,Correct,Correct,Correct,Correct,Correct,Correct,Correct,Correct,Incorrect,Correct,Correct,Correct,Incorrect,Incorrect,Nepal Rastriya Secondary School - Khajura 8 Surkhet,Grade 5,10,Male,5:35:00,6be60b7e8e,2025-11-02 12:46:40
No,No,12,12,,,,,,,,,,,Correct,Correct,,Correct,Correct,Correct,Correct,Correct,Correct,Correct,Correct,Correct,Correct,Correct,Correct,Correct,Correct,Correct,Correct,Correct,Correct,Correct,Correct,Correct,Correct,Correct,Incorrect,Correct,Correct,Incorrect,Incorrect,Nepal Rastriya Secondary School - Khajura 8 Surkhet,Grade 5,10,Male,4:46:00,944837684e,2025-11-02 12:46:40
Yes,Yes,12,12,,Correct,Correct,,Correct,Correct,Incorrect,Incorrect,Incorrect,,Correct,Correct,,Correct,Correct,Correct,Correct,Correct,Correct,Correct,Correct,Correct,Correct,Correct,Correct,Correct,Correct,Correct,Correct,Correct,Correct,Correct,Correct,Correct,Correct,Incorrect,Correct,Correct,Incorrect,Incorrect,Incorrect,Nepal Rastriya Secondary School - Khajura 8 Surkhet,Grade 8,13,Female,7:24:00,514b6215ee,2025-11-02 12:46:40
Yes,Yes,12,12,,,,,,,,,,,Correct,Correct,,Correct,Correct,Correct,Correct,Correct,Correct,Correct,Correct,Correct,Correct,Correct,Correct,Correct,Incorrect,Correct,Correct,Correct,Correct,Incorrect,Correct,Incorrect,Correct,Correct,Correct,Correct,Incorrect,Incorrect,Incorrect,Nepal Rastriya Secondary School - Khajura 8 Surkhet,Grade 8,13,Female,4:32:00,be32ae1bb5,2025-11-02 12:46:40
Yes,Yes,12,12,,,,,,,,,,,Correct,Correct,,Correct,Correct,Correct,Correct,Correct,Correct,Correct,Correct,Correct,Correct,Correct,Correct,Correct,Correct,Correct,Correct,Correct,Correct,Correct,Correct,Correct,Correct,Correct,Correct,Correct,Correct,Correct,Incorrect,Nepal Rastriya Secondary School - Khajura 8 Surkhet,Grade 8,14,Female,4:36:00,9b106ea7df,2025-11-02 12:46:40
Yes,Yes,12,12,,,,,,,,,,,Correct,Correct,,Correct,Correct,Correct,Correct,Correct,Correct,Correct,Correct,Correct,Correct,Correct,Correct,Correct,Correct,Correct,Incorrect,Correct,Correct,Correct,Correct,Correct,Correct,Correct,Correct,Correct,Correct,Correct,Incorrect,Nepal Rastriya Secondary School - Khajura 8 Surkhet,Grade 8,13,Female,4:28:00,3e51d1ea83,2025-11-02 12:46:40
Yes,Yes,12,12,,Correct,Correct,,,,,,,,Correct,Correct,,Correct,Correct,Correct,Correct,Correct,Correct,Correct,Correct,Correct,Correct,Correct,Correct,Correct,Correct,Correct,Correct,Correct,Correct,Correct,Correct,Correct,Correct,Correct,Correct,Correct,Correct,Correct,Correct,Nepal Rastriya Secondary School - Khajura 8 Surkhet,Grade 8,12,Female,4:03:00,d9a3e362ad,2025-11-02 12:46:40
Yes,Yes,12,12,,Correct,Correct,,Correct,Correct,Correct,Correct,Correct,,Correct,Correct,,Correct,Correct,Correct,Correct,Correct,Correct,Correct,Correct,Correct,Correct,Correct,Correct,Correct,Correct,Correct,Correct,Correct,Correct,Correct,Correct,Correct,Correct,Correct,Correct,Correct,Correct,Correct,Incorrect,Nepal Rastriya Secondary School - Khajura 8 Surkhet,Grade 7,11,Female,5:31:00,9e21af1752,2025-11-02 12:46:40
No,No,12,12,,Correct,Correct,,Correct,Correct,Correct,Correct,Correct,,Correct,Correct,,Correct,Correct,Correct,Correct,Correct,Correct,Correct,Correct,Correct,Correct,Correct,Correct,Correct,Correct,Correct,Correct,Correct,Correct,Correct,Correct,Correct,Correct,Correct,Correct,Correct,Correct,Correct,Correct,Nepal Rastriya Secondary School - Khajura 8 Surkhet,Grade 7,13,Female,5:01:00,97cbcb2c9c,2025-11-02 12:46:40
