FL6_cleaned1,FL6_cleaned2,FL7,FL9A,FL13_cleaned,FL15,FL17,FL19_cleaned,FL21B_cleaned1,FL21B_cleaned2,FL21B_cleaned3,FL21B_cleaned4,FL21B_cleaned5,FL21G_cleaned,FL21I,FL21K,FL21O_cleaned,FL22_cleaned1,FL22_cleaned2,FL22_cleaned3,FL22_cleaned4,FL22_cleaned5,FL23_cleaned1,FL23_cleaned2,FL23_cleaned3,FL23_cleaned4,FL23_cleaned5,FL23_cleaned6,FL24_cleaned1,FL24_cleaned2,FL24_cleaned3,FL24_cleaned4,FL24_cleaned5,FL25_cleaned1,FL25_cleaned2,FL25_cleaned3,FL25_cleaned4,FL25_cleaned5,FL26,FL26C,FL27_cleaned1,FL27_cleaned2,FL27_cleaned3,FL27_cleaned4,FL27_cleaned5,school,grade,studentAge,studentGender,elapsedTime,anon_id,export_datetime
Yes,Yes,Tibetan,Nepali,14,Correct,Correct,58,,,,,,15,,,,,,,,,Correct,Correct,Correct,Correct,Correct,Correct,Correct,Correct,Correct,Correct,Correct,Correct,Incorrect,Correct,Correct,Correct,Correct,Correct,Correct,Correct,Correct,Correct,Correct,Ghami Solar Basic School,Grade 4,10,Female,12:12:00,e7c61ba86a,2025-02-11 14:10:26
Yes,No,Tibetan,Nepali,14,Correct,Correct,59,Correct,Correct,Correct,Correct,Correct,16,Correct,Correct,48,Correct,Correct,Correct,Correct,Correct,Correct,Correct,Correct,Correct,Correct,Correct,Correct,Correct,Correct,Correct,Correct,Correct,Correct,Correct,Correct,Correct,Correct,Correct,Correct,Correct,Correct,Correct,Correct,Ghami Solar Basic School,Grade 4,10,Male,13:01:00,1d36f92f0a,2025-02-11 14:10:26
Yes,Yes,Tibetan,Nepali,14,Correct,Correct,60,Correct,Correct,Correct,Incorrect,Correct,16,Correct,Correct,48,Correct,Correct,Correct,Correct,Correct,Correct,Correct,Correct,Correct,Correct,Correct,Correct,Correct,Correct,Correct,Correct,Correct,Correct,Correct,Correct,Correct,Correct,Correct,Correct,Correct,Correct,Correct,Correct,Ghami Solar Basic School,Grade 4,11,Female,10:59:00,c47f14724d,2025-02-11 14:10:26
Yes,Yes,Tibetan,Nepali,14,Correct,No response,61,Correct,Correct,Correct,No response,No response,16,Correct,Incorrect,,,,,,,Correct,Correct,Correct,Correct,Correct,Correct,Correct,Correct,Correct,Correct,Correct,Correct,Correct,Correct,Correct,Correct,Incorrect,Correct,Correct,Correct,Correct,Correct,Correct,Ghami Solar Basic School,Grade 5,12,Female,8:17:00,0fe3191f29,2025-02-11 14:10:26
Yes,No,Tibetan,Nepali,14,Correct,Correct,61,Correct,Correct,Correct,No response,No response,16,Correct,Correct,47,Correct,Correct,Correct,Correct,Correct,Correct,Correct,Correct,Correct,Correct,Correct,Correct,Correct,Correct,Correct,Correct,Correct,No response,Correct,Correct,Incorrect,Correct,Correct,Correct,Correct,Correct,Correct,Correct,Ghami Solar Basic School,Grade 5,12,Female,9:54:00,78ae114aea,2025-02-11 14:10:26
Yes,No,Tibetan,Nepali,13,Correct,Incorrect,,,,,,,16,Correct,Correct,46,No response,Correct,Correct,Incorrect,Correct,Correct,Correct,Correct,Correct,Correct,Correct,Correct,Correct,Correct,Correct,Correct,Correct,Correct,Correct,Correct,Correct,Correct,Incorrect,Correct,Correct,Correct,Correct,Correct,Ghami Solar Basic School,Grade 5,13,Female,8:44:00,d8ce5bccec,2025-02-11 14:10:26
Yes,Yes,Tibetan,Nepali,14,Correct,Correct,56,Correct,Correct,Correct,No response,No response,16,Correct,Correct,44,Correct,Correct,Correct,Correct,Correct,Correct,Correct,Correct,Correct,Correct,Correct,Correct,Correct,Correct,Correct,Correct,Correct,Correct,Correct,Correct,Correct,Correct,Correct,Correct,Correct,Correct,Correct,Incorrect,Ghami Solar Basic School,Grade 5,13,Female,10:22:00,b2df040352,2025-02-11 14:10:26
Yes,Yes,Tibetan,Nepali,14,Correct,Correct,60,Correct,Correct,Correct,Correct,Correct,15,Correct,Correct,43,Correct,Correct,Correct,Correct,Correct,Correct,Correct,Correct,Correct,Correct,Correct,Correct,Correct,Correct,Correct,Correct,Correct,Correct,Correct,Correct,Correct,Correct,Correct,Correct,Correct,Correct,Correct,Correct,Ghami Solar Basic School,Grade 6,13,Male,9:04:00,35e44357b7,2025-02-11 14:10:26
Yes,Yes,Tibetan,Nepali,14,Correct,Correct,57,No response,Correct,Correct,No response,Correct,16,Correct,Correct,47,Correct,Correct,Correct,No response,Correct,Correct,Correct,Correct,Correct,Correct,Correct,Correct,Correct,Correct,Correct,Correct,Correct,Correct,Correct,Correct,Incorrect,Correct,Correct,Correct,Correct,Correct,Correct,Correct,Ghami Solar Basic School,Grade 6,15,Female,9:15:00,86b79942a7,2025-02-11 14:10:26
Yes,Yes,Tibetan,Nepali,13,Correct,Correct,59,Correct,Correct,Correct,Correct,Correct,15,,,,,,,,,Correct,Correct,Correct,Correct,Correct,Correct,Correct,Correct,Correct,Correct,Correct,Correct,Correct,Correct,Correct,Correct,Correct,Correct,Correct,Correct,Correct,Correct,Correct,Ghami Solar Basic School,Grade 6,14,Female,8:53:00,9d95cbbc15,2025-02-11 14:10:26
Yes,Yes,Tibetan,Nepali,14,Correct,Correct,61,Correct,Correct,Correct,Correct,Correct,16,Correct,Correct,48,Correct,Correct,Correct,Correct,Correct,Correct,Correct,Correct,Correct,Correct,Correct,Correct,Correct,Correct,Correct,Correct,Correct,Correct,Correct,Correct,Correct,Correct,Correct,Correct,Correct,Correct,Correct,Correct,Ghami Solar Basic School,Grade 6,14,Male,7:30:00,5d62b69fcc,2025-02-11 14:10:26
Yes,Yes,Tibetan,Nepali,14,Correct,Correct,61,Correct,Correct,Correct,Correct,Incorrect,16,Correct,Correct,47,Correct,Correct,Correct,Correct,No response,Correct,Correct,Correct,Correct,Correct,Correct,Correct,Correct,Correct,Correct,Correct,Correct,Correct,Correct,Correct,Correct,Correct,Correct,Correct,Correct,Correct,Correct,Correct,Ghami Solar Basic School,Grade 6,13,Female,8:37:00,16cdd7b42a,2025-02-11 14:10:26
Yes,Yes,Tibetan,Nepali,14,Correct,Correct,61,Correct,Correct,Correct,Correct,Correct,16,Correct,Correct,48,Correct,Correct,Correct,Correct,Correct,Correct,Correct,Correct,Correct,Correct,Correct,Correct,Correct,Correct,Correct,Correct,Correct,Correct,Correct,Correct,Correct,Correct,Correct,Correct,Correct,Correct,Correct,Correct,Ghami Solar Basic School,Grade 6,13,Female,8:05:00,66ec752e36,2025-02-11 14:10:26
Yes,No,Tibetan,Nepali,14,Correct,Correct,60,Correct,Correct,Correct,Correct,Correct,16,Correct,Correct,48,Correct,Correct,Correct,Correct,Correct,Correct,Correct,Correct,Correct,Correct,Correct,Correct,Correct,Correct,Correct,Correct,Correct,Correct,Correct,Correct,Correct,Correct,Correct,Correct,Correct,Correct,Correct,Correct,Ghami Solar Basic School,Grade 6,14,Female,8:22:00,71a2b368f2,2025-02-11 14:10:26
Yes,No,Tibetan,Nepali,14,Correct,Correct,59,Correct,Correct,Correct,Correct,Correct,16,Correct,Incorrect,,,,,,,Correct,Correct,Correct,Correct,Correct,Correct,Correct,Correct,Correct,Correct,Correct,Correct,Correct,Correct,Correct,Correct,Correct,Correct,Correct,Correct,Correct,Correct,Correct,Ghami Solar Basic School,Grade 6,14,Male,6:00:00,aa24cab17c,2025-02-11 14:10:26
Yes,Yes,Tibetan,Nepali,14,Correct,Correct,61,Correct,Correct,Correct,Correct,Correct,16,Correct,Correct,48,Correct,Correct,Correct,Correct,Correct,Correct,Correct,Correct,Correct,Correct,Correct,Correct,Correct,Correct,Correct,Correct,Correct,Correct,Correct,Correct,Correct,Correct,Correct,Correct,Correct,Correct,Correct,Correct,Ghami Solar Basic School,Grade 6,13,Female,6:17:00,3e4e0f16f4,2025-02-11 14:10:26
